episode_id,identifier,title
1,S01E01,Winter Is Coming
2,S01E02,The Kingsroad
3,S01E03,Lord Snow
4,S01E04,"Cripples, Bastards, and Broken Things"
5,S01E05,The Wolf and the Lion
6,S01E06,A Golden Crown
7,S01E07,You Win or You Die
8,S01E08,The Pointy End
9,S01E09,Baelor
10,S01E10,Fire and Blood
11,S02E01,The North Remembers
12,S02E02,The Night Lands
13,S02E03,What Is Dead May Never Die
14,S02E04,Garden of Bones
15,S02E05,The Ghost of Harrenhal
16,S02E06,The Old Gods and the New
17,S02E07,A Man Without Honor
18,S02E08,The Prince of Winterfell
19,S02E09,Blackwater
20,S02E10,Valar Morghulis
21,S03E01,Valar Dohaeris
22,S03E02,"Dark Wings, Dark Words"
23,S03E03,Walk of Punishment
24,S03E04,And Now His Watch Is Ended
25,S03E05,Kissed by Fire
26,S03E06,The Climb
27,S03E07,The Bear and the Maiden Fair
28,S03E08,Second Sons
29,S03E09,The Rains of Castamere
30,S03E10,Mhysa
31,S04E01,Two Swords
32,S04E02,The Lion and the Rose
33,S04E03,Breaker of Chains
34,S04E04,Oathkeeper
35,S04E05,First of His Name
36,S04E06,The Laws of Gods and Men
37,S04E07,Mockingbird
38,S04E08,The Mountain and the Viper
39,S04E09,The Watchers on the Wall
40,S04E10,The Children
41,S05E01,The Wars to Come
42,S05E02,The House of Black and White
43,S05E03,High Sparrow
44,S05E04,Sons of the Harpy
45,S05E05,Kill the Boy
46,S05E06,"Unbowed, Unbent, Unbroken"
47,S05E07,The Gift
48,S05E08,Hardhome
49,S05E09,The Dance of Dragons
50,S05E10,Mother's Mercy
51,S06E01,The Red Woman
52,S06E02,Home
53,S06E03,Oathbreaker
54,S06E04,Book of the Stranger
55,S06E05,The Door
56,S06E06,Blood of My Blood
57,S06E07,The Broken Man
58,S06E08,No One
59,S06E09,Battle of the Bastards
60,S06E10,The Winds of Winter
61,S07E01,Dragonstone
62,S07E02,Stormborn
63,S07E03,The Queen's Justice
64,S07E04,The Spoils of War
65,S07E05,Eastwatch
66,S07E06,Beyond the Wall
67,S07E07,The Dragon and the Wolf
68,S08E01,Winterfell
69,S08E02,A Knight of the Seven Kingdoms
70,S08E03,The Long Night
71,S08E04,The Last of the Starks
72,S08E05,The Bells
73,S08E06,The Iron Throne
