name,episode_title,location,sub_location,time
Gared,Winter Is Coming,The Wall,Castle Black,65
Waymar Royce,Winter Is Coming,The Wall,Castle Black,65
Will,Winter Is Coming,The Wall,Castle Black,65
Gared,Winter Is Coming,North of the Wall,The Haunted Forest,99
Waymar Royce,Winter Is Coming,North of the Wall,The Haunted Forest,99
Will,Winter Is Coming,North of the Wall,The Haunted Forest,99
Will,Winter Is Coming,North of the Wall,The Haunted Forest,7
Wight Wildling Girl,Winter Is Coming,North of the Wall,The Haunted Forest,7
Will,Winter Is Coming,North of the Wall,The Haunted Forest,7
Gared,Winter Is Coming,North of the Wall,The Haunted Forest,112
Waymar Royce,Winter Is Coming,North of the Wall,The Haunted Forest,112
Will,Winter Is Coming,North of the Wall,The Haunted Forest,112
Will,Winter Is Coming,North of the Wall,The Haunted Forest,5
Gared,Winter Is Coming,North of the Wall,The Haunted Forest,7
Waymar Royce,Winter Is Coming,North of the Wall,The Haunted Forest,7
Will,Winter Is Coming,North of the Wall,The Haunted Forest,10
Gared,Winter Is Coming,North of the Wall,The Haunted Forest,23
Waymar Royce,Winter Is Coming,North of the Wall,The Haunted Forest,23
White Walker,Winter Is Coming,North of the Wall,The Haunted Forest,23
Will,Winter Is Coming,North of the Wall,The Haunted Forest,18
Will,Winter Is Coming,North of the Wall,The Haunted Forest,10
Wight Wildling Girl,Winter Is Coming,North of the Wall,The Haunted Forest,10
Will,Winter Is Coming,North of the Wall,The Haunted Forest,56
Gared,Winter Is Coming,North of the Wall,The Haunted Forest,56
White Walker,Winter Is Coming,North of the Wall,The Haunted Forest,56
Will,Winter Is Coming,The North,Winterfell,191
Jon Snow,Winter Is Coming,The North,Winterfell,191
Bran Stark,Winter Is Coming,The North,Winterfell,191
Robb Stark,Winter Is Coming,The North,Winterfell,191
Eddard Stark,Winter Is Coming,The North,Winterfell,191
Catelyn Stark,Winter Is Coming,The North,Winterfell,191
Rickon Stark,Winter Is Coming,The North,Winterfell,191
Sansa Stark,Winter Is Coming,The North,Winterfell,191
Arya Stark,Winter Is Coming,The North,Winterfell,191
Theon Greyjoy,Winter Is Coming,The North,Winterfell,191
Rodrik Cassel,Winter Is Coming,The North,Winterfell,191
Septa Mordane,Winter Is Coming,The North,Winterfell,191
Will,Winter Is Coming,The North,Outside Winterfell,183
Eddard Stark,Winter Is Coming,The North,Outside Winterfell,183
Robb Stark,Winter Is Coming,The North,Outside Winterfell,183
Theon Greyjoy,Winter Is Coming,The North,Outside Winterfell,183
Bran Stark,Winter Is Coming,The North,Outside Winterfell,183
Rodrik Cassel,Winter Is Coming,The North,Outside Winterfell,183
Jory Cassel,Winter Is Coming,The North,Outside Winterfell,183
Jon Snow,Winter Is Coming,The North,Outside Winterfell,183
Jon Snow,Winter Is Coming,The North,Outside Winterfell,183
Eddard Stark,Winter Is Coming,The North,Outside Winterfell,183
Theon Greyjoy,Winter Is Coming,The North,Outside Winterfell,183
Bran Stark,Winter Is Coming,The North,Outside Winterfell,183
Robb Stark,Winter Is Coming,The North,Outside Winterfell,183
Rodrik Cassel,Winter Is Coming,The North,Outside Winterfell,183
Jory Cassel,Winter Is Coming,The North,Outside Winterfell,183
Grey Wind,Winter Is Coming,The North,Outside Winterfell,183
Lady,Winter Is Coming,The North,Outside Winterfell,183
Nymeria,Winter Is Coming,The North,Outside Winterfell,183
Summer,Winter Is Coming,The North,Outside Winterfell,183
Shaggydog,Winter Is Coming,The North,Outside Winterfell,183
Ghost,Winter Is Coming,The North,Outside Winterfell,183
Jon Arryn,Winter Is Coming,The Crownlands,King's Landing,121
Cersei Lannister,Winter Is Coming,The Crownlands,King's Landing,121
Jaime Lannister,Winter Is Coming,The Crownlands,King's Landing,121
Catelyn Stark,Winter Is Coming,The North,Winterfell,118
Eddard Stark,Winter Is Coming,The North,Winterfell,118
Catelyn Stark,Winter Is Coming,The North,Winterfell,26
Maester Luwin,Winter Is Coming,The North,Winterfell,26
Robb Stark,Winter Is Coming,The North,Winterfell,30
Theon Greyjoy,Winter Is Coming,The North,Winterfell,30
Jon Snow,Winter Is Coming,The North,Winterfell,30
Bran Stark,Winter Is Coming,The North,Winterfell,337
Catelyn Stark,Winter Is Coming,The North,Winterfell,337
Maester Luwin,Winter Is Coming,The North,Winterfell,337
Summer,Winter Is Coming,The North,Winterfell,337
Arya Stark,Winter Is Coming,The North,Winterfell,337
Joffrey Baratheon,Winter Is Coming,The North,Winterfell,337
Sandor Clegane,Winter Is Coming,The North,Winterfell,337
Rickon Stark,Winter Is Coming,The North,Winterfell,337
Eddard Stark,Winter Is Coming,The North,Winterfell,337
Sansa Stark,Winter Is Coming,The North,Winterfell,337
Theon Greyjoy,Winter Is Coming,The North,Winterfell,337
Jon Snow,Winter Is Coming,The North,Winterfell,337
Jory Cassel,Winter Is Coming,The North,Winterfell,337
Hodor,Winter Is Coming,The North,Winterfell,337
Rodrik Cassel,Winter Is Coming,The North,Winterfell,337
