name,episode,location,sub_location,time
Gared,S01E01,The Wall,Castle Black,65
Waymar Royce,S01E01,The Wall,Castle Black,65
Will,S01E01,The Wall,Castle Black,65
Gared,S01E01,North of the Wall,The Haunted Forest,99
Waymar Royce,S01E01,North of the Wall,The Haunted Forest,99
Will,S01E01,North of the Wall,The Haunted Forest,99
Will,S01E01,North of the Wall,The Haunted Forest,7
Wight Wildling Girl,S01E01,North of the Wall,The Haunted Forest,7
Will,S01E01,North of the Wall,The Haunted Forest,7
Gared,S01E01,North of the Wall,The Haunted Forest,112
Waymar Royce,S01E01,North of the Wall,The Haunted Forest,112
Will,S01E01,North of the Wall,The Haunted Forest,112
Will,S01E01,North of the Wall,The Haunted Forest,5
Gared,S01E01,North of the Wall,The Haunted Forest,7
Waymar Royce,S01E01,North of the Wall,The Haunted Forest,7
Will,S01E01,North of the Wall,The Haunted Forest,10
Gared,S01E01,North of the Wall,The Haunted Forest,23
Waymar Royce,S01E01,North of the Wall,The Haunted Forest,23
White Walker,S01E01,North of the Wall,The Haunted Forest,23
Will,S01E01,North of the Wall,The Haunted Forest,18
Will,S01E01,North of the Wall,The Haunted Forest,10
Wight Wildling Girl,S01E01,North of the Wall,The Haunted Forest,10
Will,S01E01,North of the Wall,The Haunted Forest,56
Gared,S01E01,North of the Wall,The Haunted Forest,56
White Walker,S01E01,North of the Wall,The Haunted Forest,56
Will,S01E01,The North,Winterfell,191
Jon Snow,S01E01,The North,Winterfell,191
Bran Stark,S01E01,The North,Winterfell,191
Robb Stark,S01E01,The North,Winterfell,191
Eddard Stark,S01E01,The North,Winterfell,191
Catelyn Stark,S01E01,The North,Winterfell,191
Rickon Stark,S01E01,The North,Winterfell,191
Sansa Stark,S01E01,The North,Winterfell,191
Arya Stark,S01E01,The North,Winterfell,191
Theon Greyjoy,S01E01,The North,Winterfell,191
Rodrik Cassel,S01E01,The North,Winterfell,191
Septa Mordane,S01E01,The North,Winterfell,191
Will,S01E01,The North,Outside Winterfell,183
Eddard Stark,S01E01,The North,Outside Winterfell,183
Robb Stark,S01E01,The North,Outside Winterfell,183
Theon Greyjoy,S01E01,The North,Outside Winterfell,183
Bran Stark,S01E01,The North,Outside Winterfell,183
Rodrik Cassel,S01E01,The North,Outside Winterfell,183
Jory Cassel,S01E01,The North,Outside Winterfell,183
Jon Snow,S01E01,The North,Outside Winterfell,183
Jon Snow,S01E01,The North,Outside Winterfell,183
Eddard Stark,S01E01,The North,Outside Winterfell,183
Theon Greyjoy,S01E01,The North,Outside Winterfell,183
Bran Stark,S01E01,The North,Outside Winterfell,183
Robb Stark,S01E01,The North,Outside Winterfell,183
Rodrik Cassel,S01E01,The North,Outside Winterfell,183
Jory Cassel,S01E01,The North,Outside Winterfell,183
Grey Wind,S01E01,The North,Outside Winterfell,183
Lady,S01E01,The North,Outside Winterfell,183
Nymeria,S01E01,The North,Outside Winterfell,183
Summer,S01E01,The North,Outside Winterfell,183
Shaggydog,S01E01,The North,Outside Winterfell,183
Ghost,S01E01,The North,Outside Winterfell,183
Jon Arryn,S01E01,The Crownlands,King's Landing,121
Cersei Lannister,S01E01,The Crownlands,King's Landing,121
Jaime Lannister,S01E01,The Crownlands,King's Landing,121
Catelyn Stark,S01E01,The North,Winterfell,118
Eddard Stark,S01E01,The North,Winterfell,118
Catelyn Stark,S01E01,The North,Winterfell,26
Maester Luwin,S01E01,The North,Winterfell,26
Robb Stark,S01E01,The North,Winterfell,30
Theon Greyjoy,S01E01,The North,Winterfell,30
Jon Snow,S01E01,The North,Winterfell,30
Bran Stark,S01E01,The North,Winterfell,337
Catelyn Stark,S01E01,The North,Winterfell,337
Maester Luwin,S01E01,The North,Winterfell,337
Summer,S01E01,The North,Winterfell,337
Arya Stark,S01E01,The North,Winterfell,337
Joffrey Baratheon,S01E01,The North,Winterfell,337
Sandor Clegane,S01E01,The North,Winterfell,337
Rickon Stark,S01E01,The North,Winterfell,337
Eddard Stark,S01E01,The North,Winterfell,337
Sansa Stark,S01E01,The North,Winterfell,337
Theon Greyjoy,S01E01,The North,Winterfell,337
Jon Snow,S01E01,The North,Winterfell,337
Jory Cassel,S01E01,The North,Winterfell,337
Hodor,S01E01,The North,Winterfell,337
Rodrik Cassel,S01E01,The North,Winterfell,337
Robert Baratheon,S01E01,The North,Winterfell,337
Cersei Lannister,S01E01,The North,Winterfell,337
Jaime Lannister,S01E01,The North,Winterfell,337
Myrcella Baratheon,S01E01,The North,Winterfell,337
Tommen Baratheon,S01E01,The North,Winterfell,337
Robert Baratheon,S01E01,The North,Winterfell,91
Eddard Stark,S01E01,The North,Winterfell,91
Jaime Lannister,S01E01,The North,Winterfell,130
Tyrion Lannister,S01E01,The North,Winterfell,130
Ros,S01E01,The North,Winterfell,130
Robert Baratheon,S01E01,The North,Winterfell,48
Eddard Stark,S01E01,The North,Winterfell,48
Daenerys Targaryen,S01E01,Pentos,Pentos,152
Viserys Targaryen,S01E01,Pentos,Pentos,152
Daenerys Targaryen,S01E01,Pentos,Pentos,126
Viserys Targaryen,S01E01,Pentos,Pentos,126
Illyrio Mopatis,S01E01,Pentos,Pentos,126
Khal Drogo,S01E01,Pentos,Pentos,126
Qotho,S01E01,Pentos,Pentos,126
Viserys Targaryen,S01E01,Pentos,Pentos,102
Illyrio Mopatis,S01E01,Pentos,Pentos,102
Daenerys Targaryen,S01E01,Pentos,Pentos,102
Catelyn Stark,S01E01,The North,Winterfell,51
Sansa Stark,S01E01,The North,Winterfell,51
Robert Baratheon,S01E01,The North,Winterfell,23
Catelyn Stark,S01E01,The North,Winterfell,23
Cersei Lannister,S01E01,The North,Winterfell,23
Rodrik Cassel,S01E01,The North,Winterfell,23
Jon Snow,S01E01,The North,Winterfell,175
Benjen Stark,S01E01,The North,Winterfell,175
Tyrion Lannister,S01E01,The North,Winterfell,175
Rodrik Cassel,S01E01,The North,Winterfell,194
Benjen Stark,S01E01,The North,Winterfell,194
Eddard Stark,S01E01,The North,Winterfell,194
Robb Stark,S01E01,The North,Winterfell,194
Robert Baratheon,S01E01,The North,Winterfell,194
Catelyn Stark,S01E01,The North,Winterfell,194
Cersei Lannister,S01E01,The North,Winterfell,194
Sansa Stark,S01E01,The North,Winterfell,194
Joffrey Baratheon,S01E01,The North,Winterfell,194
Jaime Lannister,S01E01,The North,Winterfell,194
Arya Stark,S01E01,The North,Winterfell,194
Theon Greyjoy,S01E01,The North,Winterfell,194
Eddard Stark,S01E01,The North,Winterfell,181
Catelyn Stark,S01E01,The North,Winterfell,181
